Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,WMT,0,0,0,0,351270000000.0,411770000000.0,23.57,24.94,4.17,0.66,5.15,0.77,12.13,2.77,4.18,5.84,18.66,521090000000.00006,181.86,2.5,129360000000.00002,32659999999.999996,14430000000.0,5.0,92.3,8610000000.0,3.03,76610000000.0,97.83,0.81,25.24,24980000000.0,11410000000.0,0.4,125.6,119.37,11010000.0,2830000000.0,1390000000.0,50.91,30.95,15320000.0,1.8,1.1,16920000.0
0,0,HCBK,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,SJM,0,0,0,0,,,,,,,,,,7.3,15.44,4.35,6.93,7650000000.0,67.12,-3.2,2920000000.0,1630000000.0,558700000.0,4.9,12.0,48800000.0,0.43,6020000000.0,74.42,0.72,70.97,1140000000.0,715490000.0,0.35,115.15,108.9,1280000.0,114040000.0,110480000.0,4.36,82.26,5160000.0,4.82,5.32,4560000.0
0,0,HP,0,0,0,0,2440000000.0,2540000000.0,,53.76,3.5,0.96,0.71,0.98,-31.72,-1.2,7.91,2.3,-0.77,2800000000.0,25.62,-6.9,989900000.0,768020000.0,-35610000.0,-0.34,1578.6,400900000.0,3.7,479360000.0,11.95,2.72,37.0,855750000.0,355540000.0,1.69,18.54,31.11,4120000.0,107420000.0,105050000.0,3.14,95.56,6870000.0,1.75,7.45,9390000.0
0,0,STJ,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,DF,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,KO,0,0,0,0,,,,,,,,,,23.09,28.09,6.76,39.64,33560000000.000004,7.86,8.3,22650000000.0,10670000000.0,8000000000.0,1.81,37.9,12990000000.0,3.03,43800000000.0,211.79,0.92,4.37,9710000000.0,10960000000.0,0.42,45.84,51.41,22910000.0,4290000000.0,3850000000.0,0.7,70.0,29220000.0,1.68,0.69,27340000.0
0,0,CMA,0,0,0,0,,,,,,,,,,37.31,49.2,1.72,16.54,3320000000.0,21.5,-3.1,3270000000.0,,1230000000.0,7.9,-8.2,4420000000.0,30.66,7870000000.0,,,49.95,1520000000.0,,1.56,33.48,50.84,3060000.0,139040000.0,142810000.0,0.99,87.22,5520000.0,1.96,4.57,3890000.0
0,0,GOOG,0,0,0,0,983510000000.0,883090000000.0,29.06,34.13,2.09,6.01,4.82,5.3,17.11,21.04,21.36,8.55,17.88,155060000000.0,223.36,20.0,89960000000.0,44070000000.0,32619999999.999996,46.6,-23.1,121180000000.0,175.7,14870000000.0,7.63,3.78,282.19,53080000000.0,21200000000.0,1.02,1349.72,1337.58,2320000.0,336160000.0,617980000.0,5.75,70.62,3460000.0,1.83,,4110000.0000000005
0,0,MAC,0,0,0,0,1010000000.0,6340000000.0,10.5,,,1.09,0.4,6.83,11.53,8.26,27.45,1.91,2.78,988460000.0,7.0,-4.0,608480000.0,605460000.0,80530000.0,0.57,-37.4,98310000.0,0.69,5450000000.0,187.48,0.31,19.15,369130000.0,458910000.0,0.81,6.89,17.19,7840000.0,141540000.0,117280000.0,0.58,117.1,48030000.0,5.81,57.49,30540000.0
